corp_code,종목코드
00116949,007340
00239514,054090
00269241,044380
01163050,271850
01259418,290670
00580056,099440
00206084,033020
00619640,101360
00302582,071850
00770312,195500
00220613,092790
01082418,419530
00302236,052960
01328639,900340
00191287,020400
01144028,260930
00176914,023590
01195828,311840
01580178,397500
01504910,367480
00495633,146060
00787057,115160
00117258,027390
00120076,001120
00297934,051380
00121686,033160
00160232,044450
00409371,079950
00401731,066570
00525882,096240
01516368,419120
00508344,210980
01368637,340930
00892526,263020
00479705,079190
01297898,377480
01042085,205100
01414422,339950
00410997,069140
00120289,026040
00807555,133750
01305249,330730
00494218,073110
01585155,440320
00111722,006800
00287812,038870
01136348,242040
01497142,373170
00244419,033430
01292291,440110
00147860,010580
00536888,093640
00140362,005560
01447244,353060
01696275,446750
00425351,067280
01567520,387310
00217743,039610
00128227,009770
01785056,466910
01080252,348210
01416572,340440
00352000,049130
00193009,033180
00145437,012170
01775952,464440
00255619,035250
00670085,138690
01402995,432470
00260611,043590
00158316,034310
00583424,090430
01535257,380440
01251595,293780
01494154,389030
01021639,405920
00173661,001970
00103547,018620
00113997,020150
00144012,008370
00173032,025900
00480455,077970
00228350,056700
00520610,101240
00990396,266170
01135084,365330
00133751,017510
00137234,012860
00255433,042510
00389970,064260
00812362,141020
00706715,107590
00361594,068790
00363592,054920
01116344,208850
00995993,180400
00367695,060900
00178790,079960
00911229,232680
00106313,002990
